,id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest,updated_at,guardian1_email,guardian2_email,grade,deliver_test_accomodation_approved,test_date_sign_up,current_school,gpa,language_test_scores2,reading_test_score2,math_test_scores2
530,531,,,,,0,,,,In Processing,,,,,2025-02-09 13:20:44,,,9,,January 18 2025,Bricolage Academy,,,,
531,532,,46.0,35.0,22.0,6,4,1,1,In Processing,,,,,2024-11-06 19:29:02,,,9,,March 22 2025 (No-rest option),Success at Thurgood Marshall,,,,
532,533,,,,,0,,,,In Processing,,,,,2024-11-06 21:28:07,,,9,,April 26 2025 (No-rest option),Dorothy Height Charter School,,,,
533,534,27.0,90.0,87.0,76.0,96.0,26,19,24,Eligible,,,,27.0,2024-11-07 10:51:33,,,10,,December 14 2024,Other,3.25,,,
534,535,,74.0,84.0,64.0,54,18,13,23,In Processing,,,,,2024-11-07 11:27:06,,,9,,April 26 2025 (No-rest option),Bricolage Academy,,,,
535,536,,79.0,66.0,74.0,52,20,18,14,In Processing,,,,,2024-11-07 11:53:16,,,11,,December 14 2024,Cabrini High School,,,,
536,537,30.0,94.0,97.0,99.0,117.0,28,30,29,Eligible,,,,30.0,2024-11-07 12:32:38,,,9,,January 18 2025,Louise McGehee,4.0,,,
537,538,,,,,0,,,,In Processing,,,,,2024-11-07 13:45:15,,,9,,January 18 2025,Benjamin Franklin Elementary,,,,
538,539,,25.0,57.0,16.0,11,1,1,9,In Processing,,,,,2024-11-10 21:17:56,,,9,,December 14 2024,Cabrini High School,,,,
539,540,,,,,0,,,,In Processing,,,,,2024-11-07 18:28:15,,,9,,December 14 2024,Renew Dolores T. Aaron Academy,,,,
540,541,,40.0,63.0,85.0,36,1,23,12,In Processing,,,,,2024-11-07 19:53:07,,,9,,December 14 2024,Phillis Wheatley Community School,,,,
541,542,27.0,84.0,97.0,66.0,93.0,23,14,29,Eligible,,,,27.0,2024-11-07 20:33:05,,,9,,December 14 2024,Benjamin Franklin Elementary,3.25,,,
542,543,,66.0,88.0,74.0,57,14,18,25,In Processing,,,,,2024-11-07 21:03:28,,,9,,January 18 2025,Homer Plessy Community School,,,,
543,544,,77.0,85.0,54.0,50,19,8,23,In Processing,,,,,2024-11-08 0:13:08,,,9,,December 14 2024,Harriet Tubman Charter School,,,,
544,545,30.0,87.0,96.0,94.0,111.0,24,28,29,Eligible,,,,30.0,2024-11-08 6:08:55,,,9,,December 14 2024,The Willow School,3.88,,,
545,546,,46.0,63.0,80.0,37,4,21,12,In Processing,,,,,2024-11-08 9:37:44,,,9,,December 14 2024,Bricolage Academy,,,,
546,547,,81.0,82.0,95.0,71,21,28,22,In Processing,,,,,2024-11-08 16:33:05,,,11,,April 26 2025 (No-rest option),The Willow School,,,,
547,548,,,,,0,,,,In Processing,,,,,2024-11-08 10:08:30,,,9,,,Morris Jeff Community School,,,,
548,549,,79.0,46.0,87.0,48,20,24,4,In Processing,,,,,2024-11-08 10:42:11,,,9,Test Accommodations Approved,December 14 2024,Bricolage Academy,,,,
549,550,,36.0,57.0,51.0,16,1,6,9,In Processing,,,,,2024-11-08 10:58:29,,,9,,April 26 2025 (No-rest option),Audubon Uptown Montessori and French,,,,
550,551,,,,,0,,,,In Processing,,,,,2024-11-08 10:58:46,,,9,,,Bricolage Academy,,,,
551,552,,22.0,28.0,12.0,3,1,1,1,In Processing,,,,,2024-11-08 21:55:52,,,9,,December 14 2024,Einstein Middle School,,,,
552,553,,,,,0,,,,In Processing,,,,,2024-11-08 22:44:23,,,11,,January 18 2025,Other,,,,
553,554,,61.0,80.0,72.0,49,11,17,21,In Processing,,,,,2024-11-09 8:53:51,,,9,,April 26 2025 (No-rest option),Homer Plessy Community School,,,,
554,555,,52.0,81.0,62.0,40,7,12,21,In Processing,,,,,2024-11-09 10:19:31,,,9,,,Audubon Uptown Montessori and French,,,,
555,556,,68.0,76.0,77.0,53,15,19,19,In Processing,,,,,2024-11-09 14:39:01,,,11,,January 18 2025,Other,,,,
556,557,,,,,0,,,,In Processing,,,,,2024-11-09 18:39:25,,,9,,,Benjamin Franklin Elementary,,,,
557,558,30.0,84.0,96.0,99.0,112.0,23,30,29,Eligible,,,,30.0,2024-11-10 10:45:42,,,9,,December 14 2024,Other,3.75,,,
558,559,,57.0,55.0,48.0,22,9,5,8,In Processing,,,,,2024-11-10 14:37:55,,,9,,January 18 2025,Edward Hynes Lakeview,,,,
559,560,,42.0,65.0,48.0,20,2,5,13,In Processing,,,,,2024-11-10 19:27:34,,,9,,April 26 2025 (No-rest option),Audubon Uptown Montessori and French,,,,
560,561,,81.0,74.0,61.0,50,21,11,18,In Processing,,,,,2025-01-30 13:28:35,,,11,,March 22 2025 (No-rest option),Arden Cahill Academy,,,,
561,562,,,,,0,,,,In Processing,,,,,2024-11-11 8:52:36,,,10,,April 26 2025 (No-rest option),Other,,,,
562,563,,46.0,70.0,64.0,33,4,13,16,In Processing,,,,,2024-11-11 11:32:02,,,9,,March 22 2025 (No-rest option),Mary McLeod Bethune Elementary,,,,
